user_id,nombre,precio,cantidad,direccion,categoria,imagen
kmatlock0,Snails - Large Canned,96.41,10,43 Pond Pass,Huel LLC,http://dummyimage.com/159x238.png/cc0000/ffffff
kmatlock0,Wine - Mondavi Coastal Private,20.55,9,4327 Sherman Avenue,Haley LLC,http://dummyimage.com/119x228.png/5fa2dd/ffffff
kmatlock0,Appetizer - Spring Roll  Veg,66.4,10,9114 Eastlawn Lane,Johnson and Sons,http://dummyimage.com/136x176.png/ff4444/ffffff
kmatlock0,Sugar - Splenda Sweetener,6.43,15,822 Corry Way,Batz Inc,http://dummyimage.com/242x232.png/5fa2dd/ffffff
kmatlock0,Milk - Condensed,26.37,11,13 Holy Cross Crossing,Ernser-Anderson,http://dummyimage.com/248x225.png/cc0000/ffffff
lraynes1,Alize Red Passion,91.05,3,23265 American Ash Lane,Jacobson  Beier and Schneider,http://dummyimage.com/188x223.png/cc0000/ffffff
lraynes1,Bok Choy - Baby,91.91,1,48272 Texas Hill,Halvorson  Conroy and Wolf,http://dummyimage.com/150x180.png/ff4444/ffffff
lraynes1,Chicken - Thigh  Bone In,60.19,13,7769 Mendota Alley,Fritsch  Collins and Nader,http://dummyimage.com/105x151.png/cc0000/ffffff
lraynes1,Wine - Red  Pinot Noir  Chateau,9.28,14,40051 Gerald Hill,Moen-Kub,http://dummyimage.com/155x187.png/dddddd/000000
lraynes1,Crush - Grape  355 Ml,78.36,5,8890 Jay Drive,Hoeger and Sons,http://dummyimage.com/245x225.png/dddddd/000000
gpudner2,Crush - Orange  355ml,7.94,1,4404 Moose Terrace,Breitenberg-Rippin,http://dummyimage.com/152x104.png/cc0000/ffffff
gpudner2,Stock - Chicken  White,89,2,60 Kim Street,Heaney  Labadie and Runte,http://dummyimage.com/174x140.png/5fa2dd/ffffff
gpudner2,Pickerel - Fillets,47.04,14,51749 Gerald Lane,Heller LLC,http://dummyimage.com/104x171.png/ff4444/ffffff
gpudner2,Lemonade - Strawberry  591 Ml,20.49,2,02 Bashford Terrace,Gottlieb  Robel and Dibbert,http://dummyimage.com/100x190.png/cc0000/ffffff
